epoch,loss,model_loss,Total_99_percentile,val_loss
1,0.2627,0.1574,363.19,0.1744
2,0.1382,0.0947,347.34,0.1442
3,0.1207,0.082,347.08,0.1392
4,0.1116,0.0754,339.86,0.1395
5,0.1063,0.0714,345.66,0.1358
6,0.1023,0.0686,336.65,0.1491
7,0.0991,0.0661,337.88,0.1317
8,0.0969,0.0644,339.99,0.1387
9,0.095,0.063,325.66,0.1262
10,0.0938,0.0621,342.57,0.1402
11,0.0922,0.0608,321.44,0.1314
12,0.0906,0.0596,319.95,0.1279
13,0.0899,0.0591,326.45,0.1316
14,0.0887,0.0582,310.8,0.1192
15,0.088,0.0576,338.75,0.1245
16,0.0869,0.0568,334.43,0.1299
17,0.0861,0.0562,319.62,0.1311
18,0.0855,0.0557,321.75,0.1259
19,0.0848,0.0553,322.02,0.1327
20,0.0844,0.0547,329.85,0.1237
21,0.0834,0.0541,326.24,0.1367
22,0.0831,0.0538,319.28,0.1252
23,0.0823,0.0532,332.98,0.1312
24,0.082,0.0529,332.38,0.1271
25,0.0815,0.0526,326.17,0.1254
26,0.0808,0.0521,327.66,0.1287
27,0.0806,0.0519,327.91,0.1274
28,0.0801,0.0515,327.73,0.1226
29,0.0798,0.0512,315.16,0.1210
30,0.0793,0.0509,322.86,0.1250
31,0.079,0.0505,313.56,0.1292
32,0.0786,0.0503,332.82,0.1228
33,0.0784,0.05,324.33,0.1335
34,0.0777,0.0496,330.48,0.1256
35,0.0778,0.0496,333.33,0.1243
36,0.0774,0.0493,327.67,0.1251
37,0.0772,0.0491,331.65,0.1274
38,0.0768,0.0489,323.71,0.1233
39,0.0765,0.0486,332.49,0.1275
40,0.0761,0.0484,319.34,0.1266
41,0.0758,0.0481,312.2,0.1193
42,0.0757,0.048,327.01,0.1251
43,0.0754,0.0477,327.51,0.1250
44,0.0753,0.0477,310.49,0.1222
45,0.0751,0.0475,321.65,0.1250
46,0.0748,0.0472,317.39,0.1214
47,0.0744,0.0469,336.88,0.1259
48,0.0742,0.0468,333.58,0.1324
49,0.0742,0.0467,316.28,0.1243
50,0.0739,0.0464,326.75,0.1301
51,0.0736,0.0464,312.36,0.1216
52,0.0735,0.0462,313.46,0.1206
53,0.0733,0.0461,319.66,0.1235
54,0.073,0.0459,332.58,0.1241
55,0.073,0.0459,334.41,0.1265
56,0.0727,0.0457,327.98,0.1327
57,0.0725,0.0455,326.14,0.1275
58,0.0722,0.0453,321.8,0.1237
59,0.0721,0.0451,317.4,0.1221
60,0.072,0.0451,319.73,0.1223
61,0.072,0.045,315.96,0.1267
62,0.0717,0.0449,311.41,0.1260
63,0.0715,0.0447,319.06,0.1249
64,0.0714,0.0446,328.66,0.1306
65,0.0713,0.0445,329.67,0.1323
66,0.0712,0.0443,323.36,0.1263
67,0.071,0.0443,311.75,0.1178
68,0.0709,0.0441,319.48,0.1222
69,0.0707,0.044,323.19,0.1273
70,0.0705,0.044,330.47,0.1346
71,0.0704,0.0438,316.59,0.1271
72,0.0703,0.0437,318.22,0.1260
73,0.0699,0.0435,322.83,0.1267
74,0.0701,0.0435,330.79,0.1239
75,0.07,0.0435,322.47,0.1295
76,0.0698,0.0433,321.45,0.1235
77,0.0697,0.0432,322,0.1271
78,0.0697,0.0433,329.42,0.1287
79,0.0694,0.043,320.67,0.1251
80,0.0693,0.0429,318.67,0.1221
81,0.0693,0.0429,323.38,0.1236
82,0.069,0.0427,320.44,0.1242
83,0.0689,0.0426,319.27,0.1208
84,0.0689,0.0426,321.82,0.1293
85,0.0688,0.0426,324.76,0.1305
86,0.0686,0.0424,312.63,0.1211
87,0.0685,0.0423,327.55,0.1258
88,0.0683,0.0421,321.21,0.1254
89,0.0684,0.0422,317.48,0.1230
90,0.0683,0.0421,320.04,0.1233
91,0.068,0.0419,319.15,0.1212
92,0.0681,0.0419,311.74,0.1245
93,0.068,0.0418,321.05,0.1275
94,0.0678,0.0418,322.26,0.1292
95,0.0678,0.0416,316.86,0.1202
96,0.0676,0.0416,319.4,0.1211
97,0.0675,0.0415,319.81,0.1281
98,0.0674,0.0415,317.86,0.1234
99,0.0674,0.0414,329.52,0.1270
100,0.0672,0.0413,323.77,0.1269
